"Filename","Assignment","College","Country","Course","Draft","Gender","ID","Institution","Instructor","Program","Semester","TOEFL Listening","TOEFL Speaking","TOEFL Reading","TOEFL Total","TOEFL Writing","Year","Year in School","Excerpt"
"108_CA_F_SAU_1_M_10011_UA","Controversy Analysis","S","Saudi Arabia","ENGL 108","F","M","10011","University of Arizona","1008","Chemistry","Fall","0","0","0","N/A","0","1","2016","… and she cannot see her children. Mohammed is trying to say women in Saudi Arabia wants their rights to live like … too. Sheikh Abdullah al Mutlaq in Saudi Women Driving state that women should drive and lifting ban from women to … need to drive to get some right they want, and he tried to say this work only when women promoted over the government …"
"106_PS_F_SAU_1_M_10028_UA","Position Argument","S","Saudi Arabia","ENGL 106","F","M","10028","University of Arizona","1002","Chemistry","Fall","23","19","22","85","21","1","2016","… who teaches math that I really liked. However, I would say half the class don&#039;t understand most of the things he … there and yet still people don&#039;t want him because they say he has a weird, non-understandable accent. However, … an expert at the language. At the end, I would like to say, just because someone is different doesn&#039;t mean someone …"
"106_PO_F_CHN_1_F_10025_UA","Portfolio","S","China","ENGL 106","F","F","10025","University of Arizona","1006","Psychology","Fall","16","25","19","79","19","1","2016","… not right. Maybe other can understand what I am trying to say but it is not strict writing technique. After that, my … &quot;Toward this policy, there are mainly two perspectives. State education officials think that teachers with heavy … issue and we need to consider many aspects.&quot; to make claim my thesis. Goal 4 sample writing 1 the 1st paragraph …"
"108_AB_F_DOM_2_M_10125_UA","Annotated Bibliography","CFA","Dominican Republic","ENGL 108","F","M","10125","University of Arizona","1014","Performance","Spring","15","15","17","65","18","2","2017","… also shows interviews made to the singers were they say that the whole point of the video is to show young people … You Lie&quot; by Eminem and Rihanna. There are some myths that say that Eminem is trying to say that the victim of the abuse is the one responsible for …"
"107_PR_F_SAU_1_M_10113_UA","Profile","S","Saudi Arabia","ENGL 107","F","M","10113","University of Arizona","1013","Geosciences","Spring","0","0","0","N/A","0","1","2017","… as various field trips to different mountain ranges or state parks around Tucson and sometimes even out of state. In my interview with an active member of SESS she …"
"106_PO_F_CHN_1_M_10065_UA","Portfolio","M","China","ENGL 106","F","M","10065","University of Arizona","1001","Pre Business","Fall","23","25","15","84","21","1","2016","… because these questions help me to explain what I want to say. Taking &#039;Finegan In order to write accurate descriptions, … easier to make people understand what are you want to say.&#039; I learned from journal that academic and conversational …"
"108_RR_F_CHN_1_M_10133_UA","Register Rewrite","M","China","ENGL 108","F","M","10133","University of Arizona","1015","Pre-Business","Spring","0","0","0","N/A","0","1","2017","… the global warming will cause on human beings. Some people say that the temperature rise will be hotter, and some people say that the earth will become unsuitable for human …"
"106_PS_F_SAU_1_M_10021_UA","Position Argument","S","Saudi Arabia","ENGL 106","F","M","10021","University of Arizona","1006","Physics","Fall","22","17","18","74","17","1","2016","… At first, I thought that most non-native speakers would say that they want just to speak understandable English, but … or group that they want to sound like. Non-native speakres say that they feel that they have almost the same English … English 106-015 Unit 2 Project What do non-native speakers say about who they want to sound like? The Final Draft Write …"
"106_RR_F_CHN_1_F_10053_UA","Register Rewrite","US","China","ENGL 106","F","F","10053","University of Arizona","1002","No Major Selected Ltr Art Sci","Fall","20","17","18","74","19","1","2016","… article, I find that English is changing and it is hard to say what is correct English. There are two different views of … easily&#039;, the descriptive grammarians would they to say the two way are both OK. When people use one language in …"
"106_PS_F_SAU_1_M_10009_UA","Position Argument","S","Saudi Arabia","ENGL 106","F","M","10009","University of Arizona","1005","Physics","Fall","0","0","0","N/A","0","1","2016","… different parts of the world. In particular, some scholars argue that it is unnecessary for non-native speakers to sound … about how to pronounce words correctly, he just wanted to say them as a native. Unfortunately, when he spoke to … Finegan, E. (2005). Correct American, state of American. PBS Do You Speak American? …"
"106_DE_F_MEX_1_M_10048_UA","Description and Explanation","US","Mexico","ENGL 106","F","M","10048","University of Arizona","1002","No Major Selected Ltr Art Sci","Fall","18","13","20","71","20","1","2016","… people see these two words in different ways. Some people say descriptive grammar is better than prescriptive grammar; others say it the other way around. Descriptive grammar is talking …"
"106_PS_F_CHN_1_F_10054_UA","Position Argument","US","China","ENGL 106","F","F","10054","University of Arizona","1002","No Major Selected Ltr Art Sci","Fall","20","15","19","74","20","1","2016","… like to sound like Heidi Klum: what do non-native speakers say about who they want to sound like,&quot; Sung discusses what … Horton said Sun Yang splashed him during a practice to &quot;say hello&quot; and he didn&#039;t respond because he didn&#039;t have time … to sound like Heidi Klum&#039;: What do non-native speakers say about who they want to sound like?&quot; English Today (2013) …"
"106_PS_F_CHN_1_F_10053_UA","Position Argument","US","China","ENGL 106","F","F","10053","University of Arizona","1002","No Major Selected Ltr Art Sci","Fall","20","17","18","74","19","1","2016","… to sound like Heidi Klum&#039;: What do non-native speakers say about who they want to sound like?&quot;, Matthew Sung … to Sound like Heidi Klum&#039;: What Do Non-native Speakers Say about Who They Want to Sound Like?&quot; English Today 29. 02 … to sound like Heidi Klum&#039;: What do non-native speakers say about who they want to sound like?&quot;, Matthew Sung …"
"106_RR_F_CHN_1_M_10062_UA","Register Rewrite","M","China","ENGL 106","F","M","10062","University of Arizona","1005","Pre Business","Fall","19","23","19","82","21","1","2016","… Text Re-Write Finegan, E. (2005). Correct American, state of American. PBS Do You Speak American? … the only Adj. form. However, descriptivists would rather say that for over 500 years, there are NO DISTINCTION between …"
"108_AB_F_CHN_1_F_10129_UA","Annotated Bibliography","M","China","ENGL 108","F","F","10129","University of Arizona","1014","Pre-Business","Spring","0","0","0","N/A","0","1","2017","… why most females hope to be thin. Then, I would like to claim that the application of Photoshop technology in the … 002047. Accessed March 4, 2017. Major and other authors claim that exposure to weight-stigmatizing messages aimed at …"
"106_PS_F_CHN_1_M_10010_UA","Position Argument","S","China","ENGL 106","F","M","10010","University of Arizona","1006","Mathematics","Fall","0","0","0","N/A","0","1","2016","… no good and correct pronunciation, and it is pointless to say a native-like English accent is good and correct English. … and was an ideal English model. It is difficult to say whether native English speakers&#039; pronunciations are good … to sound like Heidi Klum&#039;: What do non-native speakers say about who they want to sound like?&quot; English Today, vol. …"
"106_PS_F_CHN_1_M_10017_UA","Position Argument","S","China","ENGL 106","F","M","10017","University of Arizona","1002","Pre Computer Science","Fall","17","17","18","72","20","1","2016","… which the native English speaks have. most of his students say yes, because they think they can have a better model of … is a good pronunciation model, because one of his students claim that he never can understand what the Beckham were …"
"108_PA_F_DOM_2_M_10125_UA","Public Argument","CFA","Dominican Republic","ENGL 108","F","M","10125","University of Arizona","1014","Performance","Spring","15","15","17","65","18","2","2017","… international student or a foreigner however you prefer to say it. One of the biggest issues of any immigrant that comes … people underestimate others just because of an accent?&quot; I say that the way that some people speak do not tell anything … we should do to avoid linguistic discrimination, I would say to start with this person. What can we do to avoid this …"
"108_AB_F_CHN_4_M_10138_UA","Annotated Bibliography","S","China","ENGL 108","F","M","10138","University of Arizona","1015","Pre-Computer Science","Spring","27","27","17","91","20","4","2017","… dangerous simulations. Although it can&#039;t give a certain claim whether using virtual reality is good or bad, it … of the research question. It remains neutral rather than say virtual reality is good for human or not. Mirelman, A., … Med Sci, 234-240. DOI: 10.1093/gerona/glq201. The authors claim that treadmill training with virtual reality help …"
"108_LR_F_CHN_1_M_10133_UA","Literature Review Synthesis Paper","M","China","ENGL 108","F","M","10133","University of Arizona","1015","Pre-Business","Spring","0","0","0","N/A","0","1","2017","… there is widespread controversy in the world; some people claim that global warming just an ordinary temperature change … seriousness of the problem is no longer a concept. People say that if we do not go to Maldives right now, we will lose …"
"106_DE_F_CHN_1_M_10024_UA","Description and Explanation","S","China","ENGL 106","F","M","10024","University of Arizona","1002","Mathematics","Fall","28","24","15","77","10","1","2016","… made an experiment at the school. He ask some student he say &quot;would you use your abbreviations the text in other … my point of view, I very agree with the professor Crystal say. Actually the text message is the inevitable result of … in the video, there is such a scene that the professor say somebody like host, professor Crystal face is very …"
"106_PS_F_CHN_2_M_10096_UA","Position Argument","S","China","ENGL 106","F","M","10096","University of Arizona","1001","Pre-Computer Science","Spring","26","24","20","92","22","2","2017","… I had a seven days learning experience at California State University, Long Beach. My teacher is a native-speaker. … of English&quot; (Chit Cheung Matthew Sung). No one can say we must learn native-speaker&#039;s accent when we are … to sound like Heidi Klum&#039;: What do non-native speakers say about who they want to sound like?. English Today, 29, pp …"
"106_DE_F_CHN_1_M_10076_UA","Description and Explanation","US","China","ENGL 106","F","M","10076","University of Arizona","1010","No Major Selected Ltr Art Sci","Spring","17","20","18","72","17","1","2017","… They don&#039;t care about the grammar, like whatever you say, even though the sentences have wrong grammar. They only … thinks English is falling apart, and some prescriptivsts state that they will mend it. English is changing, as it …"
"106_PS_F_SAU_1_M_10032_UA","Position Argument","S;E","Saudi Arabia","ENGL 106","F","M","10032","University of Arizona","1005","Physics; No Major Selected Engineering","Fall","0","0","0","N/A","0","1","2016","… the education. Additionally, they provided an example to state an important fact here, which is that deciding an … was to &quot;teach non-dominant forms and functions&quot; They claim here that it would be helpful for students to … to sound like Heidi Klum&quot;: What do non-native speakers say about who they want to sound like? English Today, 29, …"
"106_VA_F_SAU_1_M_10094_UA","Variation Analysis","S","Saudi Arabia","ENGL 106","F","M","10094","University of Arizona","1001","Chemistry","Spring","24","21","23","88","20","1","2017","… in both Fought ar cle and the video comments. I would say development of ideas is strong point, and the other two … which is to sound more casual. For example, &quot; I wouldn&#039;t say it&#039;s as dif cult... &quot; ( Aileron Trading ). In the …"
"106_RR_F_CHN_1_M_10061_UA","Register Rewrite","M","China","ENGL 106","F","M","10061","University of Arizona","1002","Pre Business","Fall","21","22","18","82","21","1","2016","… that they use abbreviations to explain what they want to say. In fact, children trust those abbreviations are symbol … of complete sentence to express the idea that they want to say. A lot of thinking on their mind can help them improve …"
"108_RR_F_CHN_2_F_10147_UA","Register Rewrite","M","China","ENGL 108","F","F","10147","University of Arizona","1015","Pre-Business","Spring","22","24","22","93","25","2","2017","… relationship, which is positive affect. Positive affect is state of mood that has positive feelings and emotions so that … positive emotions the majority of the time.&quot; This is to say, the more time an individual experience positive affect, …"
"108_AB_F_CHN_2_F_10147_UA","Annotated Bibliography","M","China","ENGL 108","F","F","10147","University of Arizona","1015","Pre-Business","Spring","22","24","22","93","25","2","2017","… article, the authors develop three studies to examine the claim. In study 1, they invited students from South Korea to … for students to build up a healthier mental and emotional state (social significance). The audience can be scientists … The study gives three types of evidences to the claim which are cross-sectional, longitudinal, and …"
"108_AB_F_MEX_1_F_10126_UA","Annotated Bibliography","MED","Mexico","ENGL 108","F","F","10126","University of Arizona","1014","Pre-Physiology","Spring","23","14","28","86","21","1","2017","… reasons for wanting power. I can use this in my paper to say that they can hide behind excuses but what they will … Feel Threatened, Study Finds.&quot; Research News. The Ohio State University, 12 Sept. 2002. Web. 20 Mar. 2017. . This …"
"106_PS_F_CHN_1_F_10066_UA","Position Argument","M","China","ENGL 106","F","F","10066","University of Arizona","1006","Pre Business","Fall","21","26","20","85","18","1","2016","… who have strong accent in university better, they didn&#039;t say that they aren&#039;t a good professor or student. I agree … Sometimes, I cannot hear clearly which word they say, so I think if we can modify our pronunciation, we can …"
"108_RR_F_CHN_1_F_10144_UA","Register Rewrite","EU","China","ENGL 108","F","F","10144","University of Arizona","1015","Pre-Education","Spring","21","19","23","85","22","1","2017","… The Chinese letter are at the left side of the drawing say, &quot;I want my mother&quot;. This image shows how much this … Stage The researchers Guodong Ding and Yixiao Bao also claim in their research paper that left-behind children are …"
