<End Header>
y ^zz++++=y.
. ^zz++++=extraword
if ^cs+cnd+++=if
the ^ati++++=the
endowment ^nn+nom+++=endowment
ratio ^nn++++=ratio
lies ^nns++++=lies
between ^in++++=between
kx ^nn+++??+=kx
and ^cc++++=and
ky ^nn+++??+=ky,
, ^zz++++=extraword
the ^ati++++=the
economy ^nn++++=economy
produces ^vbz++++=produces
some ^dti++++=some
of ^in++++=of
both ^abx++++=both
goods ^nns++++=goods.
. ^zz++++=extraword
thus ^rb+cnj+++=thus,
, ^zz++++=extraword
if ^cs+cnd+++=if
kh ^nn+++??+=kh
and ^cc++++=and
kf ^nn+++??+=kf
are ^vb+ber+vrb++=are
the ^ati++++=the
capital ^nn++++=capital-labour
- ^zz++++=extraword
labour ^nn++++=extraword
ratio ^nn++++=ratio
of ^in++++=of
country ^nn++++=country
h ^zz++++=h
and ^cc++++=and
country ^nn++++=country
f ^zz++++=f
respectively ^rb+cnj+++=respectively,
, ^zz++++=extraword
they ^pp3a+pp3+++=they
indicate ^vb++++=indicate
that ^tht+vcmp+++=that
countries ^nns++++=countries
h ^zz++++=h
and ^cc++++=and
f ^zz++++=f
face ^nn++++=face
the ^ati++++=the
same ^ap++++=same
wage ^nn++++=wage-rental
- ^zz++++=extraword
rental ^jj+atrb+++=extraword
ratio ^nn++++=ratio,
, ^zz++++=extraword
wa ^&fw++++=wa,
, ^zz++++=extraword
because ^cs+cos+++=because
both ^abx++++=both
overall ^jjb+atrb+++=overall
endowment ^nn+nom+++=endowment
ratios ^nns++++=ratios
are ^vb+ber+vrb++=are
within ^in++++=within
the ^ati++++=the
diversification ^nn+nom+++=diversification
cone ^nn++++=cone.
. ^zz++++=extraword
an ^at++++=an
important ^jj+atrb+++=important
thing ^nn++++=thing
to ^to++++=to
note ^vbi+vprv+++=note
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that,
, ^zz++++=extraword
the ^ati++++=the
countries ^nns++++=countries
face ^vb++++=face
the ^ati++++=the
same ^ap++++=same
elasticity ^nn+nom+++=elasticity
of ^in++++=of
substitution ^nn+nom+++=substitution
for ^in++++=for
the ^ati++++=the
two ^cd++++=two
factors ^nns++++=factors,
, ^zz++++=extraword
capital ^nn++++=capital
and ^cc++++=and
labour ^nn++++=labour,
, ^zz++++=extraword
and ^cc+cls+++=and
this ^dt+dem+++=this
model ^nn++++=model
is ^vbz+bez+aux++=is
assumed ^vpsv++agls+xvbnx+=assumed
to ^to+vcmp+++=to
have ^vbi++vrb++=have
no ^at++++=no
factor ^nn++++=factor-intensity
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
reversal ^nn+nom+++=reversal.
. ^zz++++=extraword
therefore ^rb+cnj+++=therefore,
, ^zz++++=extraword
both ^abx++++=both
countries ^nns++++=countries
must ^md+nec+++=must
produce ^vb++++=produce
both ^abx++++=both
goods ^nns++++=goods
and ^cc++++=and
under ^in++++=under
identical ^jj++++=identical
constant ^jj++++=constant-returns-to-scale
- ^zz++++=extraword
returns ^vbz++++=extraword
- ^zz++++=extraword
to ^to++++=extraword
- ^zz++++=extraword
scale ^nn++++=extraword
production ^nn+nom+++=production
technologies ^nns+++??+=technologies,
, ^zz++++=extraword
free ^jj+atrb+++=free
trade ^nn++++=trade
in ^in++++=in
commodities ^nns+nom+++=commodities
will ^md+prd+++=will
equalise ^vb++++=equalise
relative ^jj+atrb+++=relative
factor ^nn++++=factor
prices ^nns++++=prices
through ^in++++=through
the ^ati++++=the
equalisation ^nn+nom+++=equalisation
of ^in++++=of
relative ^jj+atrb+++=relative
commodity ^nn+nom+++=commodity
prices ^nns++++=prices.
. ^zz++++=extraword
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalisation ^np+nom++??+=equalisation
theorem ^nn++++=theorem
( ^zz++++=(fpe).
fpe ^nn+++??+=extraword
) ^zz++++=extraword
. ^zz++++=extraword
extension ^nn++++=extension
of ^in++++=of
the ^ati++++=the
Fpe<in ^np+++??+=FPE</heading>In
the ^ati++++=the
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalisation ^nn+nom+++=equalisation
theorem ^nn++++=theorem,
, ^zz++++=extraword
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
assumption ^nn+nom+++=assumption
made ^vbd+++xvbn+=made
about ^in++++=about
demand ^vb++++=demand
conditions ^nns+nom+++=conditions.
. ^zz++++=extraword
following ^jj+++xvbg+=following
the ^ati++++=the
previous ^jj+atrb+++=previous
assumptions ^nns+nom+++=assumptions
made ^vbd+++xvbn+=made
in ^in++++=in
this ^dt+dem+++=this
essay ^nn++++=essay
( ^zz++++=(identical
identical ^jj+atrb+++=extraword
production ^nn+nom+++=production
functions ^nns+nom+++=functions
and ^cc++++=and
constant ^jj++++=constant-returns-to-scale,
- ^zz++++=extraword
returns ^vbz++++=extraword
- ^zz++++=extraword
to ^to++++=extraword
- ^zz++++=extraword
scale ^nn++++=extraword
, ^zz++++=extraword
perfect ^jj+atrb+++=perfect
competition ^nn+nom+++=competition
and ^cc++++=and
no ^at++++=no
factor ^nn++++=factor-intensity
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
reversal ^nn+nom+++=reversal,)
, ^zz++++=extraword
) ^zz++++=extraword
the ^ati++++=the
model ^nn++++=model
now ^rn+tm+++=now
takes ^vbz++++=takes
into ^in++++=into
account ^nn++++=account
different ^jj+atrb+++=different
tastes ^nns++++=tastes.
. ^zz++++=extraword
assuming ^vbg+vprv++xvbg+=assuming
that ^tht+vcmp+++=that
countries ^nns++++=countries
have ^vb+hv+vrb++=have
identical ^jj+atrb+++=identical
endowments ^nns+nom+++=endowments
and ^cc++++=and
that ^tht+vcmp+++=that
the ^ati++++=the
two ^cd++++=two
utility ^nn+nom+++=utility
functions ^nns+nom+++=functions
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
countries ^nns++++=countries
are ^vb+ber+vrb++=are
homogeneous ^jj+pred+++=homogeneous
while ^cs+sub+++=while
differing ^jj+++xvbg+=differing:
: ^zz++++=extraword
in ^in++++=in
figure ^nn++++=figure
7 ^zz++++=7,
, ^zz++++=extraword
p ^zz++++=p
h ^zz++++=h
and ^cc++++=and
p ^zz++++=p
f ^zz++++=f
are ^vb+ber+vrb++=are
the ^ati++++=the
autarky ^nn+++??+=autarky
prices ^nns++++=prices
in ^in++++=in
country ^nn++++=country
h ^zz++++=h
and ^cc++++=and
f ^zz++++=f
respectively ^rb++++=respectively.
. ^zz++++=extraword
residents ^nns++++=residents
in ^in++++=in
country ^nn++++=country
f ^zz++++=f
have ^vb+hv+vrb++=have
a ^at++++=a
biased ^jj+atrb++xvbn+=biased
taste ^nn++++=taste
towards ^in++++=towards
good ^jj++++=good
y ^zz++++=y
while ^cs+sub+++=while
residents ^nns++++=residents
in ^in++++=in
country ^nn++++=country
h ^zz++++=h
like ^in++++=like
more ^rbr++++=more
of ^in++++=of
good ^jj+atrb+++=good
x ^zz++++=x.
. ^zz++++=extraword
stronger ^jjr+atrb+++=stronger
preference ^nn+nom+++=preference
in ^in++++=in
good ^jj++++=good
y ^zz++++=y
in ^in++++=in
country ^nn++++=country
f ^zz++++=f
has ^vbz+hvz+aux++=has
driven ^vbd+++xvbnx+=driven
up ^rp++++=up
prices ^nns++++=prices
of ^in++++=of
good ^jj++++=good
y ^zz++++=y
in ^in++++=in
country ^nn++++=country
f ^zz++++=f
while ^cs+sub+++=while
this ^dt+dem+++=this
good ^jj++++=good
y ^zz++++=y
is ^vbz+bez+vrb++=is
cheaper ^jjr+pred+++=cheaper
in ^in++++=in
county ^npl++++=county
h ^zz++++=h
because ^cs+cos+++=because
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
less ^rbr++++=less
demand ^nn++++=demand
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=extraword
when ^wrb+who+++=when
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
free ^jj+atrb+++=free
trade ^nn++++=trade,
, ^zz++++=extraword
residents ^nns++++=residents
in ^in++++=in
country ^nn++++=country
f ^zz++++=f
would ^md+prd+++=would
import ^vb++++=import
cheaper ^jjr++++=cheaper
good ^jj++++=good
y ^zz++++=y
from ^in++++=from
country ^nn++++=country
h ^zz++++=h
until ^cs+sub+++=until
the ^ati++++=the
prices ^nns++++=prices
of ^in++++=of
good ^jj++++=good
y ^zz++++=y
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
driven ^vpsv++agls+xvbnx+=driven
up ^rp++++=up
to ^to++++=to
be ^vbi++vrb++=be
equal ^jj+pred+++=equal
in ^in++++=in
both ^abx++++=both
countries ^nns++++=countries
and ^cc++++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
incentive ^nn++++=incentive
to ^to+ncmp+++=to
import ^vb++++=import
any ^dti++++=any
more ^rbr++++=more
good ^jj++++=good
y ^zz++++=y.
. ^zz++++=extraword
price ^nn++++=price
equalisation ^nn+nom+++=equalisation
leads ^nns++++=leads
to ^in++++=to
factor ^nn++++=factor
price ^nn++++=price
equalisation ^nn+nom+++=equalisation.
. ^zz++++=extraword
thus ^rb+cnj+++=thus,
, ^zz++++=extraword
when ^wrb+who+++=when
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
factor ^nn++++=factor-intensity
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
reversal ^nn+nom+++=reversal,
, ^zz++++=extraword
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalisation ^nn+nom+++=equalisation
theorem ^nn++++=theorem
holds ^nns++++=holds
under ^in++++=under
any ^dti++++=any
demand ^nn++++=demand
conditions ^nns+nom+++=conditions.
. ^zz++++=extraword
however ^rb+cnj+++=however,
, ^zz++++=extraword
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
factor ^nn++++=factor
intensity ^nn+nom+++=intensity
reversal ^nn+nom+++=reversal,
, ^zz++++=extraword
trade ^nn++++=trade
patterns ^nns++++=patterns
would ^md+prd+++=would
depend ^vb++++=depend
crucially ^rb++++=crucially
on ^in++++=on
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
demand ^nn++++=demand
conditions ^nns+nom+++=conditions.
. ^zz++++=extraword
the ^ati++++=the
factor ^nn++++=factor-intensity
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
reversal ^nn+nom+++=reversal
is ^vbz+bez+vrb++=is
a ^at++++=a
situation ^nn+nom+++=situation
where ^wrb+who+++=where
( ^zz++++=(k/l)y
k ^zz++++=extraword
> ^zz++++=>
( ^zz++++=(k/l)x
k ^zz++++=extraword
for ^in++++=for
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
relative ^jj+atrb+++=relative
factor ^nn++++=factor
payments ^nns+nom+++=payments
w ^zz++++=w/r
and ^cc++++=and
( ^zz++++=(k/l)y
k ^zz++++=extraword
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
illustrated ^vpsv++agls+xvbnx+=illustrated
in ^in++++=in
figure ^nn++++=figure
8 ^zz++++=8.
. ^zz++++=extraword
in ^in++++=in
figure ^nn++++=figure
8 ^zz++++=8,
, ^zz++++=extraword
( ^zz++++=(k/l)r
k ^zz++++=extraword
is ^vbz+bez+vrb++=is
the ^ati++++=the
factor ^nn++++=factor-intensity-reversal
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
- ^zz++++=extraword
reversal ^jj+atrb+++=extraword
ray ^np++++=ray.
. ^zz++++=extraword
if ^cs+cnd+++=if
a ^at++++=a
country ^nn++++=country's
's ^$++++=extraword
capital ^nn++++=capital-labour
- ^zz++++=extraword
labour ^nn++++=extraword
ratio ^nn++++=ratio
is ^vbz+bez+vrb++=is
close ^in+cmpx+++=close
to ^in"++++=to
this ^dt+dem+++=this
factor ^nn++++=factor-intensity
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
ray ^nn++++=ray,
, ^zz++++=extraword
then ^rn+tm+++=then
the ^ati++++=the
production ^nn+nom+++=production
frontier ^nn+nom+++=frontier
of ^in++++=of
this ^dt+dem+++=this
country ^nn++++=country
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
linear ^jj+pred+++=linear.
. ^zz++++=extraword
in ^in++++=in
figure ^nn++++=figure
9 ^zz++++=9,
, ^zz++++=extraword
the ^ati++++=the
production ^nn+nom+++=production
possibility ^nn+nom+++=possibility
frontier ^nn+nom+++=frontier
of ^in++++=of
country ^nn++++=country
h ^zz++++=h
is ^vbz+bez+vrb++=is
almost ^rb+hdg+++=almost
linear ^jj+pred+++=linear.
. ^zz++++=extraword
the ^ati++++=the
production ^nn+nom+++=production
possibility ^nn+nom+++=possibility
curves ^nns++++=curves
for ^in++++=for
the ^ati++++=the
two ^cd++++=two
countries ^nns++++=countries
intersect ^nn+++??+=intersect
more ^rbr++++=more
than ^in++++=than
once ^rb+tm+++=once
and ^cc++++=and
this ^dt+pdem+++=this
affects ^vbz++++=affects
the ^ati++++=the
trade ^nn++++=trade
pattern ^nn++++=pattern.
. ^zz++++=extraword
if ^cs+cnd+++=if
the ^ati++++=the
highest ^jjt+atrb+++=highest
community ^nn+nom+++=community
indifference ^nn+nom+++=indifference
curve ^nn++++=curve
for ^in++++=for
country ^nn++++=country
f ^zz++++=f
is ^vbz+bez+vrb++=is
tangent ^nn++++=tangent
at ^rb++++=at
point ^nn++++=point
a ^at++++=a
f ^zz++++=f,
, ^zz++++=extraword
this ^dt+pdem+++=this
corresponds ^vbz++++=corresponds
to ^in++++=to
point ^nn++++=point
a ^at++++=a
h ^zz++++=h
for ^in++++=for
country ^nn++++=country
h ^zz++++=h.
. ^zz++++=extraword
if ^cs+cnd+++=if
trade ^nn++++=trade
is ^vbz+bez+aux++=is
allowed ^vpsv++agls+xvbnx+=allowed,
, ^zz++++=extraword
country ^nn++++=country
h ^zz++++=h
would ^md+prd+++=would
export ^vb++++=export
good ^jj++++=good
y ^zz++++=y
and ^cc++++=and
country ^nn++++=country
f ^zz++++=f
would ^md+prd+++=would
export ^vb++++=export
good ^jj+atrb+++=good
x ^zz++++=x.
. ^zz++++=extraword
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
the ^ati++++=the
case ^nn++++=case
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
been ^vbd+ben+aux+xvbnx+=been
proved ^vpsv++agls+xvbnx+=proved
at ^rb++++=at
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
this ^dt+dem+++=this
essay ^nn++++=essay.
. ^zz++++=extraword
then ^rn+tm+++=then,
, ^zz++++=extraword
trade ^nn++++=trade
would ^md+prd+++=would
equalise ^vb++++=equalise
factor ^nn++++=factor
prices ^nns++++=prices.
. ^zz++++=extraword
however ^rb+cnj+++=however,
, ^zz++++=extraword
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case
now ^rn+tm+++=now,
, ^zz++++=extraword
this ^dt+pdem+++=this
only ^rb+down+++=only
happens ^vbz+vsua+++=happens
if ^cs+cnd+++=if
the ^ati++++=the
diagram ^nn++++=diagram
below ^in+pl+++=below
y0 ^np+++??+=y0
is ^vbz+bez+aux++=is
ignored ^vpsv++agls+xvbnx+=ignored.
. ^zz++++=extraword
if ^cs+cnd+++=if
tastes ^nns++++=tastes
are ^vb+ber+aux++=are
biased ^vpsv++agls+xvbnx+=biased
towards ^in++++=towards
good ^nn++++=good
x ^zz++++=x
in ^in++++=in
both ^abx++++=both
countries ^nns++++=countries,
, ^zz++++=extraword
an ^at++++=an
indifference ^nn+nom+++=indifference
curve ^nn++++=curve
u ^zz++++=u'
' ^zz++++=extraword
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
different ^jj+pred+++=different
from ^in++++=from
u0 ^np+++??+=u0
will ^md+prd+++=will
occur ^vb++++=occur.
. ^zz++++=extraword
new ^jj+atrb+++=new
tangent ^nn++++=tangent
points ^nns++++=points
( ^zz++++=(a'h
a ^at++++=extraword
'h ^nn+++??+=extraword
and ^cc++++=and
a ^at++++=a'f)
'f) ^nn+++??+=extraword
will ^md+prd+++=will
indicate ^vb++++=indicate
that ^tht+vcmp+++=that
country ^nn++++=country
h ^zz++++=h
would ^md+prd+++=would
export ^vb++++=export
good ^jj+atrb+++=good
x ^zz++++=x
and ^cc++++=and
country ^nn++++=country
f ^zz++++=f
exports ^nns++++=exports
good ^jj++++=good
y ^zz++++=y.
. ^zz++++=extraword
again ^rb+cnj+++=again,
, ^zz++++=extraword
trade ^nn++++=trade
would ^md+prd+++=would
equalise ^vb++++=equalise
factor ^nn++++=factor
prices ^nns++++=prices.
. ^zz++++=extraword
however ^rb+cnj+++=however,
, ^zz++++=extraword
again ^rb+cnj+++=again,
, ^zz++++=extraword
this ^dt+pdem+++=this
must ^md+nec+++=must
be ^vb+be+vrb++=be
that ^tht+vcmp+++=that
the ^ati++++=the
diagram ^nn++++=diagram
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left
of ^in++++=of
x0 ^np+++??+=x0
be ^vb+be+aux++=be
ignored ^vpsv++agls+xvbnx+=ignored.
. ^zz++++=extraword
when ^wrb+who+++=when
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
factor ^nn++++=factor-intensity
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
reversal ^nn+nom+++=reversal,
, ^zz++++=extraword
demand ^vb++++=demand
conditions ^nns+nom+++=conditions
clearly ^rb++++=clearly
affect ^vb++++=affect
the ^ati++++=the
pattern ^nn++++=pattern
of ^in++++=of
trade ^nn++++=trade.
. ^zz++++=extraword
if ^cs+cnd+++=if
both ^abx++++=both
countries ^nns++++=countries
have ^vb+hv+vrb++=have
similar ^jj+atrb+++=similar
preferences ^nns+nom+++=preferences
( ^zz++++=(both
both ^abx++++=extraword
countries ^nns++++=countries
bias ^nn++++=bias
towards ^in++++=towards
the ^ati++++=the
same ^ap++++=same
good ^jj++++=good),
) ^zz++++=extraword
, ^zz++++=extraword
then ^rn+tm+++=then
trade ^nn++++=trade
will ^md+prd+++=will
occur ^vb++++=occur
with ^in++++=with
each ^dt++++=each
country ^nn++++=country
exporting ^jj++++=exporting
a ^at++++=a
different ^jj++++=different
good ^jj++++=good
and ^cc++++=and
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalisation ^nn+nom+++=equalisation
theorem ^nn++++=theorem
holds ^nns++++=holds.
. ^zz++++=extraword
however ^rb+cnj+++=however,
, ^zz++++=extraword
if ^cs+cnd+++=if
both ^abx++++=both
countries ^nns++++=countries
have ^vb+hv+vrb++=have
different ^jj+atrb+++=different
tastes ^nns++++=tastes
and ^cc++++=and
the ^ati++++=the
indifference ^nn+nom+++=indifference
curve ^nn++++=curve
of ^in++++=of
one ^cd1++++=one
country ^nn++++=country
is ^vbz+bez+vrb++=is
above ^in+pl+++=above
y0 ^np+++??+=y0
and ^cc++++=and
another ^dt++++=another
one ^pn++++=one
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
of ^in++++=of
x0 ^np+++??+=x0
as ^in++++=as
in ^in"++++=in
figure ^nn++++=figure
9 ^zz++++=9,
, ^zz++++=extraword
the ^ati++++=the
pattern ^nn++++=pattern
of ^in++++=of
trade ^nn++++=trade
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
determined ^vpsv++agls+xvbnx+=determined,
, ^zz++++=extraword
the ^ati++++=the
heckscher ^np+nom++??+=heckscher-ohlin
- ^zz++++=extraword
ohlin ^nn+++??+=extraword
model ^nn++++=model
does ^vbz+doz+aux++=does
not ^xnot++not++=not
hold ^vb+vprv+++=hold.
. ^zz++++=extraword
therefore ^rb+cnj+++=therefore,
, ^zz++++=extraword
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalisation ^nn+nom+++=equalisation
theorem ^nn++++=theorem,
, ^zz++++=extraword
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
model ^nn++++=model,
, ^zz++++=extraword
does ^vbz+doz+aux++=does
not ^xnot++not++=not
hold ^vb+vprv+++=hold.
. ^zz++++=extraword
another ^dt++++=another
result ^nn++++=result
of ^in++++=of
factor ^nn++++=factor-intensity
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
reversal ^nn+nom+++=reversal
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that,
, ^zz++++=extraword
both ^abx++++=both
countries ^nns++++=countries
may ^md+pos+++=may
be ^vb+be+vrb++=be
exporting ^jj+atrb+++=exporting
relative ^jj+atrb+++=relative
capital ^nn++++=capital-intensive
- ^zz++++=extraword
intensive ^jj+atrb+++=extraword
goods ^nns++++=goods
or ^cc++++=or
relative ^jj+atrb+++=relative
labour ^nn++++=labour-intensive
- ^zz++++=extraword
intensive ^jj+atrb+++=extraword
goods ^nns++++=goods.
. ^zz++++=extraword
thus ^rb+cnj+++=thus,
, ^zz++++=extraword
rental ^jj++++=rental
for ^in++++=for
capital ^nn++++=capital
( ^zz++++=(or
or ^cc++++=extraword
real ^jj+atrb+++=real
wages ^nns++++=wages)
) ^zz++++=extraword
will ^md+prd+++=will
go ^vb++++=go
up ^rp++++=up
in ^in++++=in
both ^abx++++=both
countries ^nns++++=countries.
. ^zz++++=extraword
trade ^nn++++=trade
causes ^nns++++=causes
factor ^nn++++=factor
prices ^nns++++=prices
to ^to++++=to
be ^vbi++vrb++=be
more ^rbr++++=more
unequal ^jj+pred+++=unequal
than ^in++++=than
before ^in++++=before
trade ^nn++++=trade.
. ^zz++++=extraword
Conclusion<the ^np+++??+=Conclusion</heading>The
heckscher ^np+nom++??+=heckscher-ohlin
- ^zz++++=extraword
ohlin ^nn+++??+=extraword
model ^nn++++=model
has ^vbz+hvz+vrb++=has
interesting ^jj+atrb+++=interesting
implications ^nns+nom+++=implications
such ^abl++++=such
as ^ql++++=as
internal ^jj+atrb+++=internal
income ^nn++++=income
distribution ^nn+nom+++=distribution.
. ^zz++++=extraword
demand ^vb++++=demand
conditions ^nns+nom+++=conditions
such ^abl++++=such
as ^ql++++=as
different ^jj+atrb+++=different
tastes ^nns++++=tastes
between ^in++++=between
countries ^nns++++=countries
still ^rb++++=still
hold ^vb+vprv+++=hold
the ^ati++++=the
same ^ap++++=same
relation ^nn+nom+++=relation
between ^in++++=between
good ^jj+atrb+++=good
prices ^nns++++=prices
and ^cc++++=and
factor ^nn++++=factor
returns ^nns++++=returns
when ^wrb+who+++=when
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
factor ^nn++++=factor-intensity
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
reversal ^nn+nom+++=reversal.
. ^zz++++=extraword
however ^rb+cnj+++=however,
, ^zz++++=extraword
when ^wrb+who+++=when
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
factor ^nn++++=factor-intensity
- ^zz++++=extraword
intensity ^nn+nom+++=extraword
reversal ^nn+nom+++=reversal,
, ^zz++++=extraword
demand ^vb++++=demand
conditions ^nns+nom+++=conditions
will ^md+prd+++=will
determine ^vb++++=determine
whether ^cs+who+++=whether
the ^ati++++=the
factor ^nn++++=factor-price
- ^zz++++=extraword
price ^nn++++=extraword
equalisation ^nn+nom+++=equalisation
theorem ^nn++++=theorem
can ^md+pos+++=can
hold ^vb+vprv+++=hold
in ^in++++=in
such ^abl++++=such
cases ^nns++++=cases.
. ^zz++++=extraword
. ^zz++++=.
